num,rate,name,price,diff,updown,buy_hoga,sell_hoga,volume,yes_volume
34.0,207.26,한국캐피탈,642.0,0.0,0.00%,640.0,642.0,152330.0,49577.0
35.0,205.58,자연과환경,2085.0,75.0,+3.73%,2065.0,2080.0,1228106.0,401888.0
36.0,201.66,루멘스,3095.0,95.0,-2.98%,3065.0,3090.0,318504.0,105585.0
37.0,189.61,아이디스,23900.0,1300.0,-5.16%,23250.0,23300.0,609815.0,210564.0
38.0,187.32,한국컴퓨터,2905.0,125.0,-4.13%,2895.0,2900.0,89425.0,31124.0
39.0,183.41,한국선재,2940.0,0.0,0.00%,2930.0,2935.0,161450.0,56966.0
40.0,179.08,제닉,10200.0,700.0,-6.42%,10100.0,10150.0,129628.0,46448.0
41.0,174.6,포비스티앤씨,1040.0,90.0,-7.96%,1045.0,1050.0,872562.0,317763.0
42.0,174.11,삼보판지,9970.0,430.0,-4.13%,10000.0,10050.0,62226.0,22701.0
43.0,173.86,아리온,1070.0,45.0,+4.39%,1060.0,1065.0,1846989.0,674433.0
44.0,173.59,CS,2150.0,115.0,-5.08%,2125.0,2140.0,85906.0,31400.0
45.0,172.49,이즈미디어,6020.0,180.0,+3.08%,6010.0,6020.0,29361.0,10775.0
46.0,169.46,중앙에너비스,46000.0,1700.0,+3.84%,45450.0,46050.0,24863.0,9227.0
47.0,167.21,빅솔론,6280.0,110.0,-1.72%,6250.0,6290.0,31376.0,11742.0
48.0,165.85,에스엔피월드,5790.0,430.0,-6.91%,5700.0,5710.0,123000.0,46266.0
49.0,165.5,이글루시큐리티,4325.0,35.0,-0.80%,4280.0,4325.0,17547.0,6609.0
50.0,163.83,에스디시스템,2290.0,120.0,-4.98%,2260.0,2275.0,36578.0,13864.0
51.0,163.0,아이에이,3120.0,110.0,-3.41%,3095.0,3125.0,159331.0,60583.0
52.0,159.47,룽투코리아,4000.0,210.0,-4.99%,3975.0,4000.0,61393.0,23661.0
53.0,157.24,두올산업,4400.0,10.0,+0.23%,4525.0,4530.0,1583770.0,615676.0
54.0,157.21,광진실업,3770.0,40.0,-1.05%,3715.0,3750.0,56409.0,21931.0
